frame,initialCondition,method,s,order,nsteps,final_err,l2_err,t_elapsed
lab,uniform,hermite,0,2,33554432,0.4733439247942384,8.414215193825285,3388.741510286
lab,uniform,hermite,1,4,16,,,0.256642881
lab,uniform,hermite,1,4,32,1.851554776183632,34.58491644140038,0.502287182
lab,uniform,hermite,1,4,64,0.5022973685899076,8.156304383257828,1.510057633
lab,uniform,hermite,1,4,128,0.16475814279899817,2.3425078878743153,1.969889242
lab,uniform,hermite,1,4,256,0.12082232602134223,2.2414633902645567,3.624905255
lab,uniform,hermite,1,4,512,0.10017726813857107,2.238908984455045,8.098109464
lab,uniform,hermite,1,4,1024,0.09160531384900246,2.2201573121280607,14.277153871
lab,uniform,hermite,1,4,2048,0.09564548071082991,2.221779321411046,31.353106728
lab,uniform,hermite,1,4,4096,0.09592392342213645,2.222541823102363,56.089391603
lab,uniform,hermite,1,4,8192,0.09340496710839345,2.1792073955107654,110.386475721
lab,uniform,hermite,1,4,16384,0.09134978655479903,2.21918737313994,204.58818786
lab,uniform,hermite,1,4,32768,0.09295453784036464,2.228491554462787,201.634118481
lab,uniform,hermite,1,4,65536,0.09270839822832726,2.2346053070870266,86.369462077
lab,uniform,hermite,1,4,131072,0.09673019839287234,2.2000024516407093,91.961572035
lab,uniform,hermite,1,4,262144,0.09589132740100183,2.1958215302197033,152.554692302
lab,uniform,hermite,1,4,524288,0.09065705320271134,2.094327291497833,209.96611593
lab,uniform,hermite,1,4,1048576,0.08564562684161643,1.875279031782214,277.448817386
lab,uniform,hermite,1,4,2097152,0.04922984616498628,0.7380874893930012,467.360403572
lab,uniform,hermite,1,4,4194304,0.0035750966081948346,0.05090038201820444,809.271693931
lab,uniform,hermite,1,4,8388608,0.00022379108237533858,0.0031854309444688577,1489.524926138
lab,uniform,hermite,1,4,16777216,1.3989864939959e-5,0.00019913065295457507,2615.156708919
lab,uniform,hermite,1,4,33554432,8.744106266230353e-7,1.2446299220073444e-5,4969.762908857
lab,uniform,hermite,2,6,16,,,0.384924834
lab,uniform,hermite,2,6,32,4.017410846631579,422.9424039948741,0.76468645
lab,uniform,hermite,2,6,64,6.73276954347576,582.9989719664419,1.620111899
lab,uniform,hermite,2,6,128,1.7692925167782034,562.6481802288791,3.105665234
lab,uniform,hermite,2,6,256,0.825444238104946,14.560029362596223,6.339748932
lab,uniform,hermite,2,6,512,0.045547981133895306,0.6450532825035198,12.139824043
lab,uniform,hermite,2,6,1024,0.025734566080449085,0.5746611294102184,20.83014939
lab,uniform,hermite,2,6,2048,0.022015741916163154,0.5199785507163965,48.535964833
lab,uniform,hermite,2,6,4096,0.02228616035921612,0.5202125056599185,97.23704232
lab,uniform,hermite,2,6,8192,0.02208545271720398,0.5237746861710016,180.33855857
lab,uniform,hermite,2,6,16384,0.022516194626959148,0.5249768423406321,352.846912722
lab,uniform,hermite,2,6,32768,0.022841732964470472,0.5331315538175679,656.402074506
lab,uniform,hermite,2,6,65536,0.02223361677161248,0.5229123218882142,731.624749497
lab,uniform,hermite,2,6,131072,0.022432058571715582,0.5070479797845485,217.892640267
lab,uniform,hermite,2,6,262144,0.01981708090730748,0.45761619226454014,253.16285302
lab,uniform,hermite,2,6,524288,0.015305243364183227,0.25782506422559676,294.684497653
lab,uniform,hermite,2,6,1048576,0.00044948784141914935,0.006400935215436352,535.53267242
lab,uniform,hermite,2,6,2097152,7.088181056622985e-6,0.00010092136615409384,759.233031136
lab,uniform,hermite,2,6,4194304,1.1099592079423774e-7,1.580355811782701e-6,1496.121213674
lab,uniform,hermite,2,6,8388608,1.735264326620462e-9,2.470661637063635e-8,2659.495035827
lab,uniform,hermite,2,6,16777216,2.7132465173559177e-11,3.8633089744841403e-10,4279.935842556
lab,uniform,hermite,2,6,33554432,2.028707284218613e-11,2.911969629400343e-10,8373.53018065
norwa,basis,controlled_filon,0,2,16,,,8.45526129
norwa,basis,controlled_filon,0,2,32,2.166368924695113e12,1.272266756949468e13,15.178547722
norwa,basis,controlled_filon,0,2,64,2.8754159755100844e14,1.688133794308807e15,31.14429455
norwa,basis,controlled_filon,0,2,128,1.1869978012968792e21,7.122772917068984e21,60.181620809
norwa,basis,controlled_filon,0,2,256,1.1869976188449097e21,7.122771858004898e21,115.775336374
norwa,basis,controlled_filon,0,2,512,1.350158609415379e7,7.938413297812657e7,224.586112864
norwa,basis,controlled_filon,0,2,1024,0.021601672495752827,0.346775688675868,88.701258474
norwa,basis,controlled_filon,0,2,2048,0.0028151535456877636,0.04580425084397533,42.333026628
norwa,basis,controlled_filon,0,2,4096,0.0006645533246315869,0.010736626586107243,133.594663738
